Ranked Venues - Harbor Freight Tools / Florida - Total - Oct 01, 2020 - Sep 30,2021,,,,,,
Rank,Name,Total Visits,lat,lng,Chain,Plotted,Percentile,State Rank
67,"Food City / 4307 N Roan St Ste 11, Johnson City, TN, United States",311336,36.37887617,-82.40940114,Food City,78,14%,67/78
68,"Food City / 841 Highway 411 N, Etowah, TN, United States",301481,35.34215609,-84.51964547,Food City,78,12%,68/78
69,"Food City / 1130 S Roane St, Harriman, TN, United States",280497,35.91810257,-84.57287327,Food City,78,11%,69/78
70,"Food City / 7804 E Brainerd Rd, Chattanooga, TN, United States",278504,35.00811801,-85.15477159,Food City,78,10%,70/78
71,"Food City / 1600 E 23rd St, Chattanooga, TN, United States",245978,35.02066871,-85.28890698,Food City,78,8%,71/78
72,"Food City / 5941 Kingston Pike, Knoxville, TN, United States",242984,35.9340254,-84.00084787,Food City,78,7%,72/78
73,"Food City / 131 N Hall Rd, Alcoa, TN, United States",239690,35.76680987,-83.97431169,Food City,78,6%,73/78
74,"Food City / 4805 N Broadway St, Knoxville, TN, United States",238744,36.02488658,-83.92917616,Food City,78,5%,74/78
75,"Food City / 1950 Western Avenue, Knoxville, TN, United States",228921,35.96625473,-83.94368343,Food City,78,3%,75/78
76,"Food City / 125 Judge Gresham Rd, Johnson City, TN, United States",150521,36.41676571,-82.47065041,Food City,78,2%,76/78
77,"Food City / 3600 Hixson Pike, Chattanooga, TN, United States",140578,35.10636632,-85.27178159,Food City,78,1%,77/78
78,"Food City / 3901 Dayton Blvd, Chattanooga, TN, United States",115759,35.11971457,-85.29148183,Food City,78,0%,78/78
1,"Food Lion Grocery Store / 377 W Jackson St, Cookeville, TN, United States",683692,36.15693762,-85.51540309,Food Lion Grocery Store,27,96%,27-Jan
2,"Food Lion Grocery Store / 304 S Broadway St, Portland, TN, United States",575941,36.57874592,-86.51430861,Food Lion Grocery Store,27,92%,27-Feb
3,"Food Lion Grocery Store / 2291 S Shady St, Mountain City, TN, United States",533711,36.44567443,-81.79571798,Food Lion Grocery Store,27,88%,27-Mar
4,"Food Lion Grocery Store / 400 Market Square Plz, Livingston, TN, United States",474412,36.39646087,-85.32155222,Food Lion Grocery Store,27,85%,27-Apr
5,"Food Lion Grocery Store / 944 Hillsboro Blvd, Manchester, TN, United States",464902,35.47313517,-86.07973857,Food Lion Grocery Store,27,81%,27-May
6,"Food Lion Grocery Store / 2304 Madison St, Clarksville, TN, United States",426001,36.50675823,-87.27083737,Food Lion Grocery Store,27,77%,27-Jun
7,"Food Lion Grocery Store / 1764 Highway 48, Clarksville, TN, United States",417471,36.47829161,-87.37730208,Food Lion Grocery Store,27,74%,27-Jul
8,"Food Lion Grocery Store / 11459 Old Nashville Hwy, Smyrna, TN, United States",380736,35.95675298,-86.51951512,Food Lion Grocery Store,27,70%,27-Aug
9,"Food Lion Grocery Store / 3636 Bell Rd, Nashville, TN, United States",366969,36.15048298,-86.62727512,Food Lion Grocery Store,27,66%,27-Sep
10,"Food Lion Grocery Store / 1707 E Lamar Alexander Pkwy, Maryville, TN, United States",357897,35.75655528,-83.947958,Food Lion Grocery Store,27,62%,27-Oct
11,"Food Lion Grocery Store / 1707 E Central Ave, La Follette, TN, United States",315617,36.39406388,-84.09467092,Food Lion Grocery Store,27,59%,27-Nov
12,"Food Lion Grocery Store / 4340 Ringgold Rd, East Ridge, TN, United States",308990,34.99441347,-85.23770767,Food Lion Grocery Store,27,55%,27-Dec
13,"Food Lion Grocery Store / 1245 E Spring St, Cookeville, TN, United States",308507,36.15298597,-85.47867781,Food Lion Grocery Store,27,51%,13/27
14,"Food Lion Grocery Store / 411 W Lincoln St, Tullahoma, TN, United States",302367,35.35732835,-86.21467178,Food Lion Grocery Store,27,48%,14/27
15,"Food Lion Grocery Store / 471 E Main St, Gallatin, TN, United States",301023,36.39008188,-86.43603335,Food Lion Grocery Store,27,44%,15/27
16,"Food Lion Grocery Store / 125 Stuart Rd, Cleveland, TN, United States",296193,35.20098032,-84.84350188,Food Lion Grocery Store,27,40%,16/27
17,"Food Lion Grocery Store / 314 Frey St, Ashland City, TN, United States",292024,36.29586973,-87.0479474,Food Lion Grocery Store,27,37%,17/27
18,"Food Lion Grocery Store / 719 S Congress Blvd, Smithville, TN, United States",287150,35.95307713,-85.81404923,Food Lion Grocery Store,27,33%,18/27
19,"Food Lion Grocery Store / 701 Highway 11 W, Church Hill, TN, United States",268503,36.5189694,-82.71201147,Food Lion Grocery Store,27,29%,19/27
20,"Food Lion Grocery Store / 219 Colloredo Blvd, Shelbyville, TN, United States",258017,35.49309083,-86.46833466,Food Lion Grocery Store,27,25%,20/27
21,"Food Lion Grocery Store / 2917 Old Knoxville Hwy, Maryville, TN, United States",248327,35.80175379,-83.94470963,Food Lion Grocery Store,27,22%,21/27
22,"Food Lion Grocery Store / 5341 Main St, Spring Hill, TN, United States",227045,35.7449997,-86.94048679,Food Lion Grocery Store,27,18%,22/27
23,"Food Lion Grocery Store / 936 Richards Rd, Antioch, TN, United States",214015,36.06800747,-86.68132058,Food Lion Grocery Store,27,14%,23/27
