PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL
15_1430,15,Miami,18,Hialeah,Miami-Dade,Curbelo & Sons,Zuvelo & Son,6151 West 24th Avenue,Hialeah,FL,33016,25.8783927,-80.330656,7862512942,52,33420,1.68,C,C+,Completed,,,,1/1/90 0:00,FALSE,,N,N,N,N,,,,100,1156,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1430
15_1431,15,Miami,18,Hialeah,Miami-Dade,Hilton Estates,,6365 West 24th Avenue,Hialeah,FL,33016,25.8802871,-80.3312497,3058277666,66,55902,2.36,C+,C+,Completed,,,,1/1/89 0:00,FALSE,,N,N,N,N,,,,100,1620,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1431
15_1432,15,Miami,18,Hialeah,Miami-Dade,Legacy Amanda Palms,Amanda Palms,6445 West 24th Avenue,Hialeah,FL,33016,25.8810163,-80.3311373,3053640432,66,55902,2.36,C,C+,Completed,,,,1/1/88 0:00,FALSE,,N,N,N,N,,,,100,1206,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1432
15_1433,15,Miami,18,Hialeah,Miami-Dade,Nikis,"Niki's Point, Del Soro",6515 West 24th Avenue,Hialeah,FL,33016,25.8818635,-80.3309111,3058273090,53,42497,1.61,B-,C+,Completed,,,,1/1/96 0:00,FALSE,,N,N,N,N,,,,100,1479,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1433
15_1434,15,Miami,18,Hialeah,Miami-Dade,Kulodex,,416 East 27th Street,Hialeah,FL,33013,25.8464236,-80.2740329,7865376230,54,31578,0.72,C,C,Completed,,,,1/1/64 0:00,FALSE,,N,N,N,N,,,,96.3,924,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1434
15_1435,15,Miami,10,Miami - Flagami,Miami-Dade,Apartamentos Madrid,Halcyon House,900 SW 27th Avenue,Miami,FL,33135,25.764235,-80.239581,3053720094,66,36300,1.15,C,C+,Completed,,,,1/1/66 0:00,FALSE,,N,N,N,N,,,,100,816,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1435
15_1436,15,Miami,22,North Miami,Miami-Dade,Northview Terrace,13605 NE 3rd Court,13605 NE 3rd Court,North Miami,FL,33161,25.9004369,-80.1914731,3058992280,57,54201,0.96,C+,C,Completed,,,,1/1/72 0:00,FALSE,,N,N,N,N,,,,100,1311,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1436
15_1437,15,Miami,18,Hialeah,Miami-Dade,T & S Building,,850 East 40th Street,Hialeah,FL,33013,25.8592867,-80.2652353,3055921210,62,48934,1.53,C,C,Completed,,,,1/1/69 0:00,FALSE,,N,N,N,N,,,,98.4,1191,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1437
15_1439,15,Miami,18,Hialeah,Miami-Dade,Flamingo,,1650 West 44th Place,Hialeah,FL,33012,25.86193,-80.316722,3052714558,54,50490,1.93,C+,C+,Completed,,,,1/1/87 0:00,FALSE,,N,N,N,N,,,,96.3,1269,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1439
15_1440,15,Miami,16,South Miami,Miami-Dade,Athena,,6775 SW 44th Street,Miami,FL,33155,25.73038,-80.304484,3056655582,60,38400,2.17,C,B-,Completed,,,,1/1/70 0:00,FALSE,,N,N,N,N,,,,100,1206,matrix.pi-ei.com/PropertyDetail/All?MarketID=15&PropertyID=1440
