Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_nearby_Burlington,num_nearby_Kohl's,num_nearby_Lowe's,num_nearby_Ross_Dress_for_Less,num_nearby_The_Home_Depot,num_nearby_Walmart,num_nearby_HomeGoods,num_nearby_T.J._Maxx,num_nearby_Marshalls,tot_visits_nearby_Burlington,tot_visits_nearby_Kohl's,tot_visits_nearby_Lowe's,tot_visits_nearby_Ross_Dress_for_Less,tot_visits_nearby_The_Home_Depot,tot_visits_nearby_Walmart,tot_visits_nearby_HomeGoods,tot_visits_nearby_T.J._Maxx,tot_visits_nearby_Marshalls
18,T.J. Maxx,TN,36.54353673,-82.5164586,411169,"36.54353673,-82.5164586",1,1,2,1,1,2,0,0,0,193766,371986,1596101,371057,458588,4525999,,,
19,T.J. Maxx,TN,36.2929558,-86.7005579,394611,"36.2929558,-86.7005579",1,2,4,2,4,4,1,0,2,183248,861480,2132640,560575,2285730,6924576,344169,,557049
20,T.J. Maxx,TN,36.07580319,-86.92191319,327611,"36.07580319,-86.92191319",2,0,1,4,2,2,1,0,1,711637,,629189,924565,1659596,3010055,266647,,256613
21,T.J. Maxx,TN,35.15045294,-89.919667,308351,"35.15045294,-89.919667",4,1,4,3,5,5,1,3,3,976749,407725,3391261,1158938,3531488,10746458,310435,1466920,991228
22,T.J. Maxx,TN,35.03692797,-85.15375197,192587,"35.03692797,-85.15375197",2,1,2,2,2,4,1,1,2,479432,402676,1863642,500590,1469334,7411660,315205,500491,723259
1,T.J. Maxx,FL,25.65297847,-80.41389258,1134979,"25.65297847,-80.41389258",4,2,1,10,7,4,1,3,3,1814934,851945,653898,4334927,8531770,8197810,111883,1291304,1382058
2,T.J. Maxx,FL,29.6620785,-82.42281801,827305,"29.6620785,-82.42281801",1,1,2,2,2,3,0,0,1,260325,263347,1363458,520098,1293634,5894647,,,527287
3,T.J. Maxx,FL,30.49295275,-87.22688285,817421,"30.49295275,-87.22688285",1,1,3,3,4,5,0,1,1,282514,419942,2195738,611523,2307028,10529366,,505569,277451
4,T.J. Maxx,FL,26.58756608,-80.14509673,802937,"26.58756608,-80.14509673",3,2,3,8,6,7,0,3,3,1152019,972024,1945726,2718864,6582366,12109534,,1222512,1483593
5,T.J. Maxx,FL,28.55369117,-81.19964538,768982,"28.55369117,-81.19964538",2,3,3,7,4,4,2,2,3,830281,1248067,2256113,2610499,3341482,9032201,591803,706639,726665
