Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_starbucks,has_starbucks
62,T.J. Maxx,FL,27.78777098,-82.72691369,339013,"27.78777098,-82.72691369",2,1
63,T.J. Maxx,FL,25.64533932,-80.33584156,337427,"25.64533932,-80.33584156",1,1
64,T.J. Maxx,FL,30.19218922,-81.74298135,335570,"30.19218922,-81.74298135",1,1
65,T.J. Maxx,FL,27.99824863,-82.56452435,335513,"27.99824863,-82.56452435",0,0
66,T.J. Maxx,FL,28.53867377,-81.73534444,335203,"28.53867377,-81.73534444",0,0
67,T.J. Maxx,FL,26.93601626,-80.09159423,333353,"26.93601626,-80.09159423",1,1
68,T.J. Maxx,FL,27.93010714,-82.7891115,333314,"27.93010714,-82.7891115",0,0
69,T.J. Maxx,FL,26.53119923,-80.08904205,330921,"26.53119923,-80.08904205",2,1
70,T.J. Maxx,FL,29.47775566,-81.2153126,330474,"29.47775566,-81.2153126",1,1
71,T.J. Maxx,FL,26.00974618,-80.35720031,320118,"26.00974618,-80.35720031",1,1
72,T.J. Maxx,FL,27.6385425,-80.38230785,318362,"27.6385425,-80.38230785",0,0
73,T.J. Maxx,FL,28.81919966,-81.67658074,317349,"28.81919966,-81.67658074",0,0
74,T.J. Maxx,FL,26.8431894,-80.07067753,309767,"26.8431894,-80.07067753",0,0
75,T.J. Maxx,FL,28.93295269,-81.93829386,308812,"28.93295269,-81.93829386",2,1
76,T.J. Maxx,FL,26.44302204,-80.07223489,302075,"26.44302204,-80.07223489",1,1
77,T.J. Maxx,FL,28.6278281,-81.31945704,299426,"28.6278281,-81.31945704",1,1
78,T.J. Maxx,FL,28.23348648,-82.73085927,296551,"28.23348648,-82.73085927",1,1
79,T.J. Maxx,FL,28.51589552,-81.37907899,280372,"28.51589552,-81.37907899",2,1
80,T.J. Maxx,FL,28.34613124,-81.482625,276207,"28.34613124,-81.482625",0,0
81,T.J. Maxx,FL,28.26414526,-82.18649301,271995,"28.26414526,-82.18649301",0,0
82,T.J. Maxx,FL,28.65683065,-81.42086953,264589,"28.65683065,-81.42086953",1,1
83,T.J. Maxx,FL,28.39139541,-81.24781724,264054,"28.39139541,-81.24781724",1,1
84,T.J. Maxx,FL,26.60843087,-81.81345361,239397,"26.60843087,-81.81345361",0,0
85,T.J. Maxx,FL,30.26072448,-81.6244509,182806,"30.26072448,-81.6244509",0,0
86,T.J. Maxx,FL,26.09717542,-80.12949882,179403,"26.09717542,-80.12949882",2,1
87,T.J. Maxx,FL,27.43332377,-82.57887006,134530,"27.43332377,-82.57887006",0,0
88,T.J. Maxx,FL,25.88796775,-80.16249003,112783,"25.88796775,-80.16249003",0,0
1,T.J. Maxx,AL,34.82570805,-87.62562727,757204,"34.82570805,-87.62562727",0,0
2,T.J. Maxx,AL,31.2460136,-85.424775,710596,"31.2460136,-85.424775",0,0
3,T.J. Maxx,AL,33.39335053,-86.80787109,676723,"33.39335053,-86.80787109",1,1
4,T.J. Maxx,AL,32.61772288,-85.40596121,672003,"32.61772288,-85.40596121",2,1
5,T.J. Maxx,AL,34.01266801,-85.98970988,595703,"34.01266801,-85.98970988",0,0
6,T.J. Maxx,AL,33.18497378,-87.52800996,585935,"33.18497378,-87.52800996",0,0
7,T.J. Maxx,AL,34.27934442,-86.20673902,550241,"34.27934442,-86.20673902",0,0
8,T.J. Maxx,AL,32.45711144,-86.3968484,548695,"32.45711144,-86.3968484",1,1
9,T.J. Maxx,AL,33.60483555,-86.63828671,531727,"33.60483555,-86.63828671",1,1
10,T.J. Maxx,AL,33.60837815,-85.78320548,531480,"33.60837815,-85.78320548",1,1
11,T.J. Maxx,AL,33.22367944,-86.80391794,524758,"33.22367944,-86.80391794",2,1
12,T.J. Maxx,AL,34.15084311,-86.83897821,522109,"34.15084311,-86.83897821",1,1
13,T.J. Maxx,AL,34.68981044,-86.57808509,520098,"34.68981044,-86.57808509",1,1
14,T.J. Maxx,AL,32.34508806,-86.22138895,510554,"32.34508806,-86.22138895",0,0
15,T.J. Maxx,AL,33.64939863,-86.823636,489876,"33.64939863,-86.823636",1,1
16,T.J. Maxx,AL,34.75703117,-86.73690152,485713,"34.75703117,-86.73690152",1,1
17,T.J. Maxx,AL,30.65283447,-87.90662753,471157,"30.65283447,-87.90662753",1,1
18,T.J. Maxx,AL,31.3179396,-85.82869189,469954,"31.3179396,-85.82869189",0,0
19,T.J. Maxx,AL,30.37584144,-87.67847689,458653,"30.37584144,-87.67847689",1,1
20,T.J. Maxx,AL,33.84977072,-87.26907566,456588,"33.84977072,-87.26907566",0,0
21,T.J. Maxx,AL,33.4218513,-86.69223753,422139,"33.4218513,-86.69223753",1,1
22,T.J. Maxx,AL,30.67742241,-88.14683993,365909,"30.67742241,-88.14683993",1,1
23,T.J. Maxx,AL,31.77784479,-85.9452729,347167,"31.77784479,-85.9452729",0,0
24,T.J. Maxx,AL,33.33548414,-86.99132475,314216,"33.33548414,-86.99132475",0,0
25,T.J. Maxx,AL,33.17396136,-86.28282353,296829,"33.17396136,-86.28282353",0,0
1,Marshalls,TN,35.90036903,-84.16504292,667805,"35.90036903,-84.16504292",0,0
2,Marshalls,TN,36.59428253,-82.26120263,603255,"36.59428253,-82.26120263",0,0
3,Marshalls,TN,36.00560161,-84.02129132,561367,"36.00560161,-84.02129132",0,0
4,Marshalls,TN,36.06464859,-87.38214268,498539,"36.06464859,-87.38214268",0,0
5,Marshalls,TN,35.7947587,-83.55793115,482572,"35.7947587,-83.55793115",0,0
6,Marshalls,TN,35.66831885,-88.86081176,429958,"35.66831885,-88.86081176",1,1
7,Marshalls,TN,35.06692717,-89.75868571,425903,"35.06692717,-89.75868571",1,1
8,Marshalls,TN,35.03060566,-85.1603834,404148,"35.03060566,-85.1603834",2,1
9,Marshalls,TN,36.50635176,-87.27211958,380377,"36.50635176,-87.27211958",1,1
10,Marshalls,TN,35.1717264,-89.79537508,376821,"35.1717264,-89.79537508",1,1
11,Marshalls,TN,36.18078371,-86.63873721,357338,"36.18078371,-86.63873721",0,0
12,Marshalls,TN,36.058481,-89.38297864,346149,"36.058481,-89.38297864",0,0
13,Marshalls,TN,35.85514928,-86.42752802,345718,"35.85514928,-86.42752802",2,1
14,Marshalls,TN,35.05252409,-89.80833985,340179,"35.05252409,-89.80833985",1,1
15,Marshalls,TN,35.15531384,-85.2457901,319111,"35.15531384,-85.2457901",1,1
16,Marshalls,TN,35.9487633,-86.8177021,294725,"35.9487633,-86.8177021",1,1
17,Marshalls,TN,35.20774682,-89.89610965,274228,"35.20774682,-89.89610965",0,0
18,Marshalls,TN,36.13668573,-86.89025267,256613,"36.13668573,-86.89025267",1,1
19,Marshalls,TN,36.17549394,-82.79590644,247037,"36.17549394,-82.79590644",0,0
20,Marshalls,TN,36.03737298,-83.8873844,241529,"36.03737298,-83.8873844",1,1
