Rank,Name,State,Lat,Long,Total_Visits,client_coords,num_Discretionary,num_High-Mid-Range,num_Low-Mid-Range,num_Workforce,avg_sqft_Discretionary,avg_sqft_High_Mid-Range,avg_sqft_Low-Mid-Range,avg_sqft_Workforce,avg_rent_Discretionary,avg_rent_High_Mid-Range,avg_rent_Low-Mid-Range,avg_rent_Workforce,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Adaptive_Reuse,Single_Family_Rental,Fractured_Condo
8,T.J. Maxx,FL,27.107679,-82.43585655,659108,"27.107679,-82.43585655",0,1,1,4,,972.8043478,878.3333333,737.4749432,,1947,1278,1252,0,2,0,2,0,0,0
9,T.J. Maxx,FL,30.50322099,-84.24983703,629904,"30.50322099,-84.24983703",0,2,22,4,,1060.619835,984.7009193,740.1554254,,1353,1173.368421,737,0,7,0,1,0,0,0
10,T.J. Maxx,FL,28.01355971,-82.73333397,625093,"28.01355971,-82.73333397",0,3,11,8,,1022.962115,906.8677568,833.4774909,,1739.333333,1720.090909,1225.5,0,2,0,2,0,0,0
11,T.J. Maxx,FL,25.74593131,-80.33410972,596128,"25.74593131,-80.33410972",0,3,18,21,,1003.914139,890.1794534,705.9750025,,2260,2280.384615,1359.444444,4,4,0,3,0,0,1
12,T.J. Maxx,FL,26.31583737,-80.15573678,592478,"26.31583737,-80.15573678",1,22,15,5,1551.225589,1038.570627,935.5450194,761.705462,3643,2335.2,1782.692308,1554.5,0,7,0,4,0,0,2
13,T.J. Maxx,FL,25.86853738,-80.29271011,584261,"25.86853738,-80.29271011",0,0,5,60,,,922.2599483,722.3243403,,,1817.5,1342.136364,0,15,0,10,0,0,5
14,T.J. Maxx,FL,27.84696052,-82.64561699,528605,"27.84696052,-82.64561699",0,10,18,13,,961.4128191,936.0450119,786.4638461,,2065.8,1776.882353,1316.8,0,4,0,1,0,0,3
15,T.J. Maxx,FL,30.60089884,-87.12569893,505569,"30.60089884,-87.12569893",0,0,2,1,,,920.4098361,758.6956522,,,,,0,3,0,0,0,0,0
16,T.J. Maxx,FL,30.42708329,-86.64275731,502766,"30.42708329,-86.64275731",0,1,9,15,,993.8340611,1063.943921,827.734793,,1800,1697.714286,1078.846154,0,4,0,2,0,0,0
17,T.J. Maxx,FL,28.09361164,-81.97052271,501134,"28.09361164,-81.97052271",0,3,11,9,,1003.326646,1006.94361,800.2344352,,1338.666667,1351.375,1018,0,9,0,3,0,0,1
18,T.J. Maxx,FL,30.18750453,-85.66889004,488801,"30.18750453,-85.66889004",0,1,14,15,,1395.833333,1046.122444,879.9909833,,1380,1255.571429,1030.2,0,12,1,2,0,0,0
19,T.J. Maxx,FL,25.48055461,-80.44006876,487096,"25.48055461,-80.44006876",0,2,15,34,,996.8142857,1081.623961,763.0280059,,1685,1691,989.7,0,30,0,4,0,0,3
20,T.J. Maxx,FL,29.1655025,-82.17087219,486906,"29.1655025,-82.17087219",0,3,4,11,,1136.567354,991.3330323,853.7472691,,1797.666667,1326.75,1205.25,0,7,0,2,0,0,0
21,T.J. Maxx,FL,27.94218865,-82.32392391,483380,"27.94218865,-82.32392391",0,24,24,5,,1061.653517,956.4814283,785.1450254,,1943.041667,1542.214286,1068.75,0,12,0,1,0,0,1
22,T.J. Maxx,FL,26.20787927,-81.76659535,474058,"26.20787927,-81.76659535",0,10,2,0,,970.2869264,923.6184783,,,2030,2573,,0,1,0,1,0,0,2
23,T.J. Maxx,FL,26.72314373,-80.09031477,471527,"26.72314373,-80.09031477",4,13,29,22,1048.648019,1002.649596,952.6015494,812.7145658,4337.5,2369.545455,1914.066667,1323.444444,0,27,0,9,0,0,6
24,T.J. Maxx,FL,30.31812252,-81.49467181,468333,"30.31812252,-81.49467181",0,11,15,3,,1116.520727,920.0557477,894.8730441,,1776.6,1337.25,1030.5,1,6,0,0,0,0,1
25,T.J. Maxx,FL,26.54322828,-81.87297893,462091,"26.54322828,-81.87297893",0,4,20,0,,1077.175278,933.9434558,,,1622.5,1408.666667,,0,2,0,0,0,0,0
26,T.J. Maxx,FL,28.00274354,-81.71699889,452901,"28.00274354,-81.71699889",0,1,4,10,,1045.811321,1007.009908,713.9749644,,1719,1200.666667,1052.333333,0,6,0,4,0,0,0
27,T.J. Maxx,FL,27.83769786,-82.78558611,447977,"27.83769786,-82.78558611",0,2,2,6,,995.46491,927.0744141,807.8169857,,1778.5,2084.5,1166.25,0,2,0,0,0,0,1
28,T.J. Maxx,FL,28.34259836,-81.43024952,440521,"28.34259836,-81.43024952",0,12,23,19,,1082.893565,975.0617821,892.0160497,,1947.272727,1703.333333,1394.666667,0,15,0,2,0,0,3
29,T.J. Maxx,FL,25.94449895,-80.16804489,437395,"25.94449895,-80.16804489",0,12,10,39,,1067.527806,848.662968,822.682499,,2470,1761.428571,1452.259259,0,15,0,5,0,1,1
30,T.J. Maxx,FL,28.35488355,-80.69962881,436561,"28.35488355,-80.69962881",0,0,2,9,,,1069.968275,847.2772949,,,1670,992.125,0,3,0,0,0,0,0
31,T.J. Maxx,FL,28.85592895,-82.38808677,436022,"28.85592895,-82.38808677",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
32,T.J. Maxx,FL,27.9343907,-82.5041293,433619,"27.9343907,-82.5041293",0,15,19,14,,916.6500314,802.6175049,665.1073132,,2459,1875.166667,1406.375,1,8,0,6,0,0,2
33,T.J. Maxx,FL,28.98319412,-81.2970863,433588,"28.98319412,-81.2970863",0,0,4,6,,,1091.967019,870.1983726,,,1682.5,1193.4,0,4,0,0,0,1,0
34,T.J. Maxx,FL,26.05054556,-80.1584286,432420,"26.05054556,-80.1584286",0,7,7,14,,1119.661127,959.5489727,684.750294,,2495.857143,1910.666667,1190.714286,0,7,0,2,0,0,0
35,T.J. Maxx,FL,28.09657182,-82.50415771,426394,"28.09657182,-82.50415771",0,4,11,0,,1009.762971,838.9904865,,,1883.75,1581.272727,,0,0,0,0,0,0,1
36,T.J. Maxx,FL,27.3912488,-82.45129698,425778,"27.3912488,-82.45129698",1,9,1,0,1047.416667,1026.724596,956.1129032,,2507,2138.875,1855,,0,0,0,0,0,0,0
37,T.J. Maxx,FL,26.4087816,-81.80781382,424396,"26.4087816,-81.80781382",0,2,1,0,,1003.361185,902.8367347,,,2031.5,1643,,0,0,0,0,0,0,0
38,T.J. Maxx,FL,28.24525552,-82.3519224,422295,"28.24525552,-82.3519224",0,2,1,0,,1069.435484,747.2222222,,,1995,1085,,0,1,0,0,0,0,0
39,T.J. Maxx,FL,27.17634489,-80.23343587,420282,"27.17634489,-80.23343587",0,0,0,0,,,,,,,,,0,0,0,0,0,0,
40,T.J. Maxx,FL,26.67048683,-80.20063747,420064,"26.67048683,-80.20063747",1,7,3,0,1155.279279,1187.965214,960.0185765,,2196,2595.333333,1312,,0,2,0,0,0,0,2
41,T.J. Maxx,FL,26.00591221,-80.29370672,417530,"26.00591221,-80.29370672",0,24,11,2,,1117.336401,851.0285564,627.3409091,,2590.304348,1778.75,,0,6,0,5,0,0,4
