Rank,Name,StoreID,Total_Visits,Lat,Long,Place_ID,City,County,State,zipcode,GEOID,TRACT,StateID,CountyID,TractPopulation,TractMedianIncome
64,Marshalls,1181,305582,27.46365197,-82.63403533,,,,,,12081000409,409,12,81,2827,77656
65,Marshalls,398,302981,26.6160286,-80.14417633,,,,,,12099004819,4819,12,99,4512,42516
66,Marshalls,67,287427,28.66364034,-81.38252103,,,,,,12117021901,21901,12,117,5180,76831
67,Marshalls,1364,285714,28.26592456,-81.3308053,,,,,,12097042904,42904,12,97,6715,57264
68,Marshalls,1197,283748,25.8314203,-80.25975734,,,,,,12086000805,805,12,86,5944,48375
69,Marshalls,252,279016,27.83623061,-82.68780706,,,,,,12103024908,24908,12,103,3366,83232
70,Marshalls,1192,277451,30.48203772,-87.20826445,,,,,,12033001201,1201,12,33,4899,73670
71,Marshalls,1135,268583,30.31105405,-81.73429752,,,,,,12031012100,12100,12,31,1858,28378
72,Marshalls,1256,268041,28.19081911,-82.45722617,,,,,,12101032013,32013,12,101,6150,90347
73,Marshalls,866,266804,26.23680797,-80.20107708,,,,,,12011020103,20103,12,11,5146,47447
74,Marshalls,228,264460,29.26168687,-81.02659535,,,,,,12127081101,81101,12,127,2622,52083
75,Marshalls,1315,242889,26.06015291,-81.69784683,,,,,,12021011103,11103,12,21,2384,45393
76,Marshalls,124,242170,28.33256231,-81.47381297,,,,,,12097040904,40904,12,97,5166,56902
77,Marshalls,678,236513,28.54893327,-81.34961019,,,,,,12095018400,18400,12,95,2723,61250
78,Marshalls,419,235265,28.55435066,-81.47929418,,,,,,12095014904,14904,12,95,7221,36269
79,Marshalls,1386,233046,25.93840204,-80.2473497,,,,,,12086009401,9401,12,86,2267,64872
80,Marshalls,1163,223103,26.18834769,-80.20689326,,,,,,12011050309,50309,12,11,2669,30327
81,Marshalls,,211309,30.14840093,-81.75340135,,,,,,12019030802,30802,12,19,6709,80667
82,Marshalls,211,201749,27.78893025,-82.73017403,,,,,,12103022501,22501,12,103,5705,60203
83,Marshalls,1455,188704,26.11916123,-80.17708116,,,,,,12011042802,42802,12,11,2275,34765
84,Marshalls,356,175715,25.77398514,-80.32171357,,,,,,12086009014,9014,12,86,4248,73878
85,Marshalls,1495,150855,28.65364973,-81.20987675,,,,,,12117021314,21314,12,117,4131,87819
86,Marshalls,1396,127309,27.07493951,-82.42337358,,,,,,12115002505,2505,12,115,2290,67898
87,Marshalls,333,114594,27.89163011,-82.78264183,,,,,,12103025311,25311,12,103,3621,61809
