Unnamed: 0,Brand,Store.Number,Street.Address,City,State.Province,Postcode,Longitude,Latitude
600,Starbucks,14316-104302,1600 W Kennedy Blvd,Tampa,FL,336061845,-82.48,27.94
601,Starbucks,25468-239189,"2013 N. Dale Mabry, West Park Village Town Center",Tampa,FL,33607,-82.51,27.96
602,Starbucks,8457-46799,"10118 Montague Blvd., Suite #18",Tampa,FL,33626,-82.6,28.04
603,Starbucks,10065-98748,3619 West Gandy Blvd,Tampa,FL,336112607,-82.5,27.89
604,Starbucks,8295-3088,715 South Howard St,Tampa,FL,336062468,-82.48,27.94
605,Starbucks,75904-97613,513 S Florida Ave,Tampa,FL,336025419,-82.46,27.94
606,Starbucks,8384-19164,225 Westshore Plaza,Tampa,FL,336091810,-82.53,27.95
607,Starbucks,8312-5448,1508 North Westshore Blvd.,Tampa,FL,336074506,-82.52,27.96
608,Starbucks,76401-95750,1544 N Dale Mabry Hwy,Tampa,FL,336072551,-82.51,27.96
609,Starbucks,8593-87963,"7968 Citrus Park Town Ctr Mall, The Hidden River Collection",Tampa,FL,336253179,-82.58,28.07
610,Starbucks,8514-62705,"8229 Parkedge Drive, AMC Veteran 24",Tampa,FL,336371101,-82.37,28.07
611,Starbucks,8437-15873,9222 Anderson Road,Tampa,FL,33634,-82.54,28.03
612,Starbucks,75813-96830,7627 W Courtney Campbell Causeway,Tampa,FL,336071431,-82.57,27.97
613,Starbucks,8299-3089,5006 E Fowler,Tampa,FL,336172146,-82.4,28.05
614,Starbucks,29630-252407,4100 George J Bean Pkwy,Tampa,FL,33607,-82.54,27.97
615,Starbucks,9737-96123,"502 E. Hillsborough Avenue, Town Square Shopping Center",Tampa,FL,336047042,-82.45,28.0
616,Starbucks,8428-28454,118 South Westshore Blvd,Tampa,FL,336092539,-82.52,27.94
617,Starbucks,10025-98747,12998 Race Track Rd,Tampa,FL,336261305,-82.63,28.07
618,Starbucks,76754-108136,6295 W  Waters Ave,Tampa,FL,336341100,-82.55,28.03
619,Starbucks,75205-92860,"4202 E Fowler Ave, International Plaza",Tampa,FL,336209998,-82.41,28.05
620,Starbucks,8458-17095,"2223 N. Westshore Blvd., K-100",Tampa,FL,336071411,-82.52,27.96
621,Starbucks,8456-38739,17525 Preserve Walk Lane,Tampa,FL,336473244,-82.37,28.13
622,Starbucks,47490-252405,4100 George J Bean Pkwy,Tampa,FL,33607,-82.54,27.97
623,Starbucks,8277-1716,"14394 N. Dale Mabry Hwy., Ste. 10",Tampa,FL,336182018,-82.51,28.08
624,Starbucks,3787-138044,"4202 E Fowler Ave, AXA0094",Tampa,FL,336209998,-82.41,28.05
625,Starbucks,8117-95190,8602 Hillsborough Ave,Tampa,FL,336153811,-82.58,28.0
626,Starbucks,24501-217604,820 West North A St,Tampa,FL,33606,-82.47,27.94
627,Starbucks,3482-90583,40908 US Highway 19 North,Tarpon Springs,FL,346895446,-82.74,28.14
628,Starbucks,8949-94106,966 Old Mill Run,The Villages,FL,321621675,-81.97,28.91
629,Starbucks,76793-108132,3055 Columbia Blvd,Titusville,FL,327807865,-80.84,28.55
630,Starbucks,27801-247008,3570 Cheney Highway,Titusville,FL,32780,-80.85,28.55
631,Starbucks,2816-85943,15951 Sheridan St,Town of Southwest Ranches,FL,333313491,-80.36,26.03
632,Starbucks,2967-240785,"2914 Little Road, A",Trinity,FL,34655,-82.67,28.2
633,Starbucks,76665-99836,"4271 S Tamiami Trail, Sivertsen Commercial Bldg.",Venice,FL,342935131,-82.39,27.05
634,Starbucks,9976-96246,1500 US Hwy 41 By-Pass South,Venice,FL,34293,-82.43,27.08
635,Starbucks,11117-103541,"6280 20th Street, Suite A",Vero Beach,FL,329667675,-80.46,27.64
636,Starbucks,10023-89562,1235 US Hwy 1,Vero Beach,FL,329605729,-80.39,27.62
637,Starbucks,76566-101465,5800 20th St,Vero Beach,FL,329661017,-80.45,27.64
638,Starbucks,76247-79330,8455 N Wickham Rd,Viera,FL,329406607,-80.72,28.23
